"batsman1","bowler1","ballsFaced","fours","sixes"
"A Ahmadhel","A Nanda",4,1,0
"A Ahmadhel","V Saini",7,0,0
"A Amado","Atif Mehmood",3,0,0
"A Amado","Imran Ameer",5,0,0
"A Amado","LA Burns",8,0,0
"A Amado","Mohammad Kamran",3,1,0
"A Amado","Raja Adeel",3,0,0
"A Amado","Yasir Ali",3,1,0
"A Andrews","Noman Amjad",5,1,0
"A Ashokan","A Kheterpal",20,0,0
"A Ashokan","Abdullah Akbarjan",22,0,2
"A Ashokan","AG Weligamage",14,1,0
"A Ashokan","Ali Masood",3,0,0
"A Ashokan","Ali Nayyer",2,0,0
"A Ashokan","Aqib Iqbal",8,0,0
"A Ashokan","Arslan Amjad",9,1,0
"A Ashokan","Ashwin Vinod",4,0,1
"A Ashokan","Asif Bevinje",6,2,1
"A Ashokan","B George",4,1,1
"A Ashokan","BA Pai",2,0,0
"A Ashokan","Bilal Zalmai",16,0,0
"A Ashokan","BP Adapaka",23,1,3
"A Ashokan","Dawood Ahmadzai",5,0,0
"A Ashokan","DV Varghese",2,0,0
"A Ashokan","Elias Hasan",11,1,0
"A Ashokan","Faheem Nazir",9,2,0
"A Ashokan","G Venkateswaran",1,1,0
"A Ashokan","Gaurav Mishra",2,0,0
"A Ashokan","Habib Khan",2,0,0
"A Ashokan","HV Mandhyan",17,0,1
"A Ashokan","I Asif",5,0,0
"A Ashokan","Ibrahim Jabarkhel",6,0,0
"A Ashokan","Ijaz Hussain",6,0,0
"A Ashokan","Itibarshah Deedar",6,0,0
"A Ashokan","J Shaju",10,1,1
"A Ashokan","Jaweed Sadran",7,0,0
"A Ashokan","K Fletcher",1,0,0
"A Ashokan","Khaibar Deldar",5,0,0
"A Ashokan","Khalid Ahmadi",3,1,0
"A Ashokan","KJ Ferrary",6,0,0
"A Ashokan","L Bruce",2,0,0
"A Ashokan","LP Kasturiarachchige",6,1,1
"A Ashokan","M Dixit",1,0,0
"A Ashokan","M Kadyan",3,0,0
"A Ashokan","M Whelan",8,0,1
"A Ashokan","MMR Obili",6,0,1
"A Ashokan","Murid Ekrami",8,0,0
"A Ashokan","N Advani",1,0,0
"A Ashokan","NK Aneesh Kumar",7,0,1
"A Ashokan","NSK Mehta",13,1,0
"A Ashokan","Osman Khan",3,1,0
"A Ashokan","P Florin",5,1,0
"A Ashokan","P Malav",21,1,1
"A Ashokan","P Mishra",6,0,0
"A Ashokan","R Satheesan",3,0,0
"A Ashokan","Rahmatullah Mangal",9,0,0
"A Ashokan","S Vats",2,0,0
"A Ashokan","SA Mohandas",9,0,0
"A Ashokan","Saber Zakhil",6,0,0
"A Ashokan","Sahel Zadran",12,1,0
"A Ashokan","Sami Ullah",7,1,0
"A Ashokan","Shahil Momin",3,0,0
"A Ashokan","SKS Gill",5,0,0
"A Ashokan","Taranjeet Singh",22,2,3
"A Ashokan","Umair Tariq",9,2,1
"A Ashokan","V Saini",30,2,1
"A Ashokan","V Vijh",6,0,0
"A Ashokan","Washeem Abbas",4,0,0
"A Ashokan","WJ Cope",12,1,1
"A Ashokan","Zain Ahmad",4,0,1
"A Ashokan","Zeeshan Kukikhel",6,0,0
"A Bagai","AO Suji",4,0,0
"A Bagai","AR Cusack",9,1,0
"A Bagai","CO Obuya",8,1,0
"A Bagai","DI Allan",4,1,0
"A Bagai","DLS van Bunge",3,0,0
"A Bagai","DT Johnston",8,1,0
"A Bagai","GH Dockrell",15,0,0
"A Bagai","HA Varaiya",5,0,0
"A Bagai","JK Kamande",12,1,0
"A Bagai","KJ O'Brien",5,1,0
"A Bagai","LN Onyango",2,0,0
"A Bagai","MC Sorensen",7,1,0
"A Bagai","NM Odhiambo",1,0,0
"A Bagai","NN Odhiambo",6,1,0
"A Bagai","PM Seelaar",6,0,0
"A Bagai","PW Borren",6,0,0
"A Bagai","RG Aga",5,1,0
"A Bagai","RN ten Doeschate",3,0,0
"A Bagai","RR Patel",3,0,0
"A Bagai","SO Ngoche",16,1,0
"A Bagai","SO Tikolo",17,1,0
"A Bagai","TJ Murtagh",12,3,0
"A Balbirnie","A Bohara",5,0,0
"A Balbirnie","Aamir Kaleem",4,1,0
"A Balbirnie","AC Evans",13,4,2
"A Balbirnie","Ahmed Raza",17,0,1
"A Balbirnie","Aizaz Khan",15,2,0
"A Balbirnie","AJ Hosein",4,0,1
"A Balbirnie","Akif Raja",5,1,0
"A Balbirnie","AL Phehlukwayo",3,0,0
"A Balbirnie","AR Patel",5,1,0
"A Balbirnie","AS Joseph",2,0,0
"A Balbirnie","AU Rashid",14,1,0
"A Balbirnie","AV Lalcheta",4,0,1
"A Balbirnie","AW Hawkins-Kay",5,1,0
"A Balbirnie","Ayan Khan",2,1,0
"A Balbirnie","Azmatullah Omarzai",14,4,1
"A Balbirnie","B Fernando",4,0,0
"A Balbirnie","B Kumar",12,0,1
"A Balbirnie","B Muzarabani",3,0,0
"A Balbirnie","B Ward",4,1,0
"A Balbirnie","BA Stokes",6,0,0
"A Balbirnie","BC Fortuin",3,0,0
"A Balbirnie","BD Glover",8,0,0
"A Balbirnie","BDH Stevens",3,0,0
"A Balbirnie","BE Hendricks",9,3,0
"A Balbirnie","BFW de Leede",3,1,0
"A Balbirnie","Bilal Khan",21,3,1
