"bowler1","batsman1","wicketTaken"
"A Ahmadhel","S Nadigotla",1
"A Amado","B Arora",1
"A Andrews","CJ Delany",1
"A Andrews","J Albin",1
"A Andrews","JA Fitzgerald",1
"A Andrews","Omar Rassol",1
"A Andrews","P Hatchman",1
"A Ashokan","A Reyes",1
"A Ashokan","Anser Mehmood",1
"A Ashokan","Asad Mahmood",1
"A Ashokan","J Barker",1
"A Ashokan","J Marples",1
"A Ashokan","Khaibar Deldar",1
"A Ashokan","M Dixit",1
"A Ashokan","Mirza Ahsan",1
"A Ashokan","Noorkhan Ahmedi",1
"A Ashokan","P Malav",1
"A Ashokan","S Nadigotla",1
"A Ashokan","Sahel Zadran",1
"A Ashokan","WJ Cope",1
"A Ashokan","Zahir Mohammed",1
"A Bhargava","Chirag Suri",1
"A Bhattarai","Irfan Ahmed",1
"A Bhattarai","Irfan Ahmed",1
"A Bishnoi","Hadisullah Tarakhel",1
"A Bishnoi","Mamoon Latif",1
"A Bishnoi","Shaheryar Butt",1
"A Bishnoi","Sheraz Sheikh",1
"A Bohara","A Balbirnie",1
"A Bohara","A Bhagwat",1
"A Bohara","Ahmed Faiz Mohammad Noor",1
"A Bohara","Ainool Hafizs",1
"A Bohara","Ameel Mauroof",1
"A Bohara","Amir Hayat",1
"A Bohara","AR McBrine",1
"A Bohara","C Pengkumta",1
"A Bohara","CJA Amini",1
"A Bohara","CP Rizwan",1
"A Bohara","CR Suryawanshi",1
"A Bohara","FJ Klaassen",1
"A Bohara","GC Wilson",1
"A Bohara","Ghulam Shabber",1
"A Bohara","Ismail Sardar",1
"A Bohara","J Hill",1
"A Bohara","Janak Prakash",1
"A Bohara","Kashif Daud",1
"A Bohara","KH Prajapati",2
"A Bohara","MNM Aslam",1
"A Bohara","Mohammad Boota",1
"A Bohara","Mohammad Nadeem",1
"A Bohara","Mohammad Naveed",1
"A Bohara","MR Adair",1
"A Bohara","Muhammad Amir",1
"A Bohara","Muhammad Usman",1
"A Bohara","N Vanua",1
"A Bohara","Naseem Khushi",1
"A Bohara","P Suanchuai",1
"A Bohara","R Hekure",1
"A Bohara","R Mutumbami",1
"A Bohara","R Rohan",1
"A Bohara","Ravinderpal Singh",1
"A Bohara","Ravinderpal Singh",1
"A Bohara","S Bau",1
"A Bohara","SA Edwards",1
"A Bohara","Salman Nazar",1
"A Bohara","Shaiman Anwar",1
"A Bohara","Shoaib Khan",1
"A Bohara","Simi Singh",1
"A Bohara","Tamoor Sajjad",1
"A Bohara","TH David",1
"A Bohara","Virandeep Singh",1
"A Bohara","VJ Kingma",1
"A Bohara","Waqas Barkat",1
"A Bohara","Waseem Muhammad",1
"A Dananjaya","AM Ellis",1
"A Dananjaya","BJ Watling",1
"A Dananjaya","C Munro",1
"A Dananjaya","CH Gayle",1
"A Dananjaya","DA Miller",1
"A Dananjaya","DJ Mitchell",1
"A Dananjaya","E Lewis",2
"A Dananjaya","EJG Morgan",1
"A Dananjaya","HE van der Dussen",1
"A Dananjaya","Liton Das",1
"A Dananjaya","MJ Guptill",2
"A Dananjaya","MJ Santner",1
"A Dananjaya","MK Pandey",1
"A Dananjaya","MN Samuels",1
"A Dananjaya","N Pooran",1
"A Dananjaya","Q de Kock",1
"A Dananjaya","RG Sharma",1
"A Dananjaya","RJ Nicol",1
"A Dananjaya","RR Hendricks",1
"A Dananjaya","S Dhawan",2
"A Dananjaya","Sabbir Rahman",1
"A Dananjaya","SC Kuggeleijn",2
"A Dananjaya","SCJ Broad",1
"A Dananjaya","Soumya Sarkar",1
"A Dananjaya","SV Samson",1
"A Dananjaya","TL Seifert",1
"A Denuwan","J Broad",1
"A Dhingra","Abhijeet Ahuja",1
"A Dhingra","Ashwin Vinod",1
"A Dhingra","G Manan",1
"A Dhingra","K Fletcher",1
"A Dhingra","Ritik Tomar",1
"A Dhingra","S Ashwathnarayana",1
"A Dhingra","Sami Ullah",1
"A Dhingra","Sulaiman Ali",1
"A Dhingra","V Saini",1
"A Dhingra","Zeeshan Kukikhel",1
"A Djorovic","S Thakur",1
"A Dutt","Ahmed Faiz Mohammad Noor",1
"A Dutt","Anwar Arudin",1
"A Dutt","DM Nakrani",1
"A Dutt","Kushal Malla",1
"A Flintoff","AB de Villiers",1
"A Flintoff","JA Morkel",1
"A Flintoff","PG Fulton",1
"A Flintoff","RT Ponting",1
"A Flintoff","Yuvraj Singh",1
"A Gbla","A Shreshta",2
"A Gbla","AJ Ayannaike",1
"A Gbla","CM Akachukwu",1
"A Gbla","IO Okpe",2
"A Gbla","P Aho",2
"A Gbla","RA Abolarin",1
"A Gbla","SA Okpe",1
"A Husain","ML Castillo",1
"A Husain","O Stewart",1
"A Husain","R Davson",1
"A Karn","TP Visee",1
"A Khan","BBJL Perera",1
"A Khan","DJ Bravo",1
"A Khan","JE Dunford",1
"A Khan","NJ Ferraby",1
"A Khan","RR Sarwan",1
"A Khan","Sapan Mehta",1
"A Kheterpal","A Reyes",1
"A Kheterpal","Asif Bevinje",1
"A Kheterpal","B George",1
"A Kheterpal","H Lakov",1
"A Kheterpal","I Katzarski",1
"A Kheterpal","R Satheesan",2
"A Kheterpal","T Whiteman",1
"A Kheterpal","Zeeshan Khan",1
"A Kirschbaum","C Brown",1
"A Kirschbaum","NS Dhaliwal",1
"A Krishna","Ahmed Faiz Mohammad Noor",2
"A Krishna","Ainool Hafizs",1
"A Krishna","AM Tribe",1
"A Krishna","DF Jacobs",1
"A Krishna","KD Shah",1
"A Krishna","M Faheem",1
"A Krishna","Mohamed Arief",1
"A Krishna","S Muniandy",2
"A Krishna","S Vesawkar",1
"A Krishna","SC Williams",1
"A Krishna","Syazrul Idrus",1
"A Krishna","Syed Aziz",1
"A Krishna","Virandeep Singh",1
"A Krishna","Waqas Khan",1
"A Krishna","Zubaidi Zulkifle",1
"A Manousis","JD Newton",1
"A Manousis","W Boshoff",1
"A Mansale","Ainool Haqqiem",1
"A Mansale","Fitri Sham",1
"A Mansale","Mohamed Arief",1
"A Mansale","Nazril Rahman",1
"A Mansale","S Muniandy",1
"A Mansale","Zubaidi Zulkifle",1
"A Martel","D Nikolov",1
"A Martel","Dawood Ahmadzai",1
"A Martel","H Lakov",1
"A Martel","HA Jackson",1
"A Martel","Jubaid Ahamed",1
"A Martel","R Dhiman",1
"A Martel","Zain Ahmad",1
"A Martin","Imrul Kayes",1
"A Mene-Ejegi","A McAuley",1
"A Mene-Ejegi","D Jansen",1
"A Mene-Ejegi","G Burrows",1
"A Mene-Ejegi","H Lakov",1
"A Mene-Ejegi","I Elec",1
"A Mene-Ejegi","IA De Silva",1
"A Mene-Ejegi","JA Burrows",1
"A Mene-Ejegi","KC D'Souza",1
"A Mene-Ejegi","M Kadyan",1
"A Mene-Ejegi","Muhammad Shoaib Ahmed",1
"A Mene-Ejegi","P Mishra",1
"A Mishra","Ahmed Shehzad",1
"A Mishra","Anamul Haque",1
"A Mishra","BJ Haddin",1
"A Mishra","BJ Hodge",1
"A Mishra","BRM Taylor",1
"A Mishra","CR Brathwaite",1
"A Mishra","DJ Bravo",2
"A Mishra","EJG Morgan",1
"A Mishra","HDRL Thirimanne",1
"A Mishra","J Charles",1
"A Mishra","JJ Roy",1
"A Mishra","MN Samuels",1
"A Mishra","MN Samuels",1
"A Mishra","Nasir Hossain",1
"A Mishra","Shoaib Malik",1
"A Mishra","Ziaur Rahman",1
"A Morris","KS Leverock",1
"A Morris","MD Patel",1
"A Morris","OGL Bascome",1
"A Morris","Rizwan Cheema",1
"A Morris","TS Fray",1
"A Morris","XM Marshall",1
"A Nanda","H Lakov",1
"A Nanda","S Wickramasekara",1
"A Nanda","Taranjeet Singh",1
"A Nanda","V Hristov",1
"A Nao","Aasif Sheikh",1
"A Nao","Karan KC",1
"A Nathwani","Ansar Iqbal",1
"A Nathwani","Ayyaz Qureshi",1
"A Nathwani","D Abeyrathna",1
"A Nathwani","Hamid Mahmood",1
"A Nathwani","J Butler",1
"A Nathwani","P Pustoslemsek",1
"A Nathwani","Sachin Mandy",2
"A Nathwani","Sher Sahak",1
"A Nathwani","TC Barker",1
"A Nathwani","Umar Nawaz (2)",2
"A Nathwani","W Boshoff",1
"A Natubhai Ahir","R Davson",1
"A Ndlovu","Asghar Stanikzai",1
"A Ndlovu","Rashid Khan",1
"A Nehra","AB de Villiers",1
"A Nehra","AD Mathews",1
"A Nehra","BA Stokes",1
"A Nehra","C Munro",1
"A Nehra","CH Gayle",1
"A Nehra","CK Kapugedera",1
"A Nehra","DJ Bravo",1
"A Nehra","DJ Hussey",1
"A Nehra","DPMD Jayawardene",1
"A Nehra","HM Amla",1
"A Nehra","J Botha",1
"A Nehra","JJ Roy",1
"A Nehra","Karim Sadiq",1
"A Nehra","KMDN Kulasekara",1
